33,4,1570,1139,1560,87.33375796178343,392.5
34,5,1546,1163,1534,86.18111254851229,309.2
31,3,1582,1127,1575,87.73198482932996,527.3333333333334
20,5,1837,872,1821,90.77953184540011,367.4
19,5,1867,842,1851,90.93197643277986,373.4
27,9,1653,1056,1627,89.66969147005445,183.66666666666666
17,4,1980,729,1967,92.88080808080808,495.0
37,5,1506,1203,1494,84.87250996015936,301.2
28,7,1628,1081,1606,88.89557739557739,232.57142857142858
29,6,1620,1089,1600,88.23950617283951,270.0
30,5,1604,1105,1586,87.47506234413964,320.8
26,10,1678,1031,1648,89.90703218116806,167.8
8,6,2319,390,2302,117.64812419146183,386.5
32,3,1572,1137,1565,87.54580152671755,524.0
12,7,2154,555,2121,102.47353760445682,307.7142857142857
36,5,1522,1187,1510,86.49671484888304,304.4
16,7,2008,701,1985,93.73406374501992,286.85714285714283
15,7,2044,665,2023,94.62035225048923,292.0
5,5,2442,267,2424,128.0982800982801,488.4
22,6,1773,936,1750,90.48956570783982,295.5
10,5,2258,451,2243,108.29406554472985,451.6
13,8,2122,587,2098,97.55984919886899,265.25
40,3,1474,1235,1466,84.75305291723203,491.3333333333333
9,5,2278,431,2263,112.45917471466198,455.6
35,5,1540,1169,1528,86.2064935064935,308.0
24,9,1703,1006,1675,90.96770405167352,189.22222222222223
21,5,1806,903,1790,90.37430786267996,361.2
14,8,2086,623,2063,95.64525407478428,260.75
11,5,2178,531,2151,105.87419651056015,435.6
39,4,1483,1226,1473,84.8186109238031,370.75
1,1,2709,0,2709,335.2919896640827,2709.0
2,4,2629,80,2619,217.8630658044884,657.25
18,4,1939,770,1926,91.32542547705003,484.75
23,10,1723,986,1692,90.98084735925711,172.3
3,4,2579,130,2566,173.72237301279566,644.75
4,4,2508,201,2491,144.24561403508773,627.0
25,9,1691,1018,1663,90.17622708456534,187.88888888888889
6,8,2401,308,2377,123.34277384423157,300.125
7,7,2349,360,2330,120.17113665389527,335.57142857142856
38,4,1488,1221,1478,85.02150537634408,372.0
42,3,1422,1287,1415,85.19690576652602,474.0
41,3,1454,1255,1446,84.74415405777167,484.6666666666667
71,9,917,1792,898,62.43838604143948,101.88888888888889
43,3,1406,1303,1399,84.94736842105263,468.6666666666667
48,4,1242,1467,1233,73.48148148148148,310.5
72,11,904,1805,880,62.63274336283186,82.18181818181819
50,6,1207,1502,1193,68.07456503728253,201.16666666666666
51,6,1197,1512,1183,68.18379281537176,199.5
47,3,1251,1458,1244,74.38369304556355,417.0
44,3,1395,1314,1388,85.12974910394266,465.0
45,3,1382,1327,1375,84.58176555716354,460.6666666666667
54,5,1173,1536,1162,67.95907928388746,234.6
52,5,1189,1520,1177,68.3380992430614,237.8
67,10,980,1729,955,61.583673469387755,98.0
62,6,1061,1648,1045,60.748350612629594,176.83333333333334
55,5,1155,1554,1144,67.33333333333333,231.0
75,10,875,1834,853,60.35885714285714,87.5
46,3,1278,1431,1271,74.9546165884194,426.0
58,4,1111,1598,1100,66.42124212421243,277.75
59,5,1098,1611,1083,65.9544626593807,219.6
60,5,1087,1622,1072,61.405703771849126,217.4
70,7,940,1769,924,62.81276595744681,134.28571428571428
57,4,1128,1581,1117,67.14539007092199,282.0
49,6,1230,1479,1216,68.59674796747967,205.0
65,10,1006,1703,984,61.3558648111332,100.6
74,10,881,1828,859,61.1328036322361,88.1
61,6,1068,1641,1051,61.02996254681648,178.0
73,9,892,1817,872,62.163677130044846,99.11111111111111
66,10,987,1722,962,62.03039513677812,98.7
53,6,1182,1527,1168,67.83756345177665,197.0
63,7,1046,1663,1029,60.65583173996176,149.42857142857142
64,7,1033,1676,1016,60.784123910939016,147.57142857142858
68,9,967,1742,944,61.925542916235784,107.44444444444444
56,3,1135,1574,1128,67.19823788546256,378.3333333333333
79,10,862,1847,841,59.969837587006964,86.2
69,8,955,1754,934,62.22408376963351,119.375
76,10,868,1841,846,60.41935483870968,86.8
80,9,851,1858,832,59.349001175088134,94.55555555555556
77,10,868,1841,846,60.05990783410138,86.8
78,10,864,1845,843,60.09953703703704,86.4
83,9,837,1872,809,59.61290322580645,93.0
86,7,813,1896,796,60.1230012300123,116.14285714285714
81,9,847,1862,828,59.37190082644628,94.11111111111111
82,8,841,1868,824,59.6551724137931,105.125
84,8,824,1885,805,60.172330097087375,103.0
87,7,809,1900,792,60.2274412855377,115.57142857142857
97,6,700,2009,689,55.63142857142857,116.66666666666667
85,7,817,1892,800,60.56058751529988,116.71428571428571
94,6,716,1993,703,55.03351955307262,119.33333333333333
89,7,738,1971,719,55.40379403794038,105.42857142857143
91,6,728,1981,715,55.51648351648352,121.33333333333333
95,6,712,1997,700,55.15449438202247,118.66666666666667
96,6,703,2006,692,55.51635846372689,117.16666666666667
92,6,727,1982,714,55.27647867950481,121.16666666666667
99,6,693,2016,682,54.23665223665223,115.5
111,4,639,2070,633,52.200312989045386,159.75
106,4,653,2056,647,52.84532924961715,163.25
88,6,755,1954,740,55.88609271523179,125.83333333333333
110,4,642,2067,636,52.386292834890966,160.5
98,6,698,2011,687,55.40401146131805,116.33333333333333
101,5,682,2027,674,54.48680351906158,136.4
93,6,724,1985,711,54.89779005524862,120.66666666666667
103,6,666,2043,656,52.96396396396396,111.0
102,4,676,2033,670,53.98816568047337,169.0
100,6,691,2018,680,54.04630969609262,115.16666666666667
90,7,736,1973,717,55.11141304347826,105.14285714285714
105,4,654,2055,648,53.04892966360856,163.5
118,11,592,2117,524,51.11486486486486,53.81818181818182
113,7,624,2085,609,51.092948717948715,89.14285714285714
